qseqid	sseqid	qlen	slen	length	evalue	ppos	qstart	qend	sstart	send	sframe
AT5G27910.1	NW_003302548.1	187	22951293	170	4.54e-74	86.47	1	170	14038560	14038051	-1
AT5G27910.1	NW_003302548.1	187	22951293	165	5.02e-59	79.39	1	165	14028363	14027887	-1
AT5G27910.1	NW_003302548.1	187	22951293	151	5.38e-40	69.54	8	150	14017081	14016635	-3
AT5G27910.1	NW_003302548.1	187	22951293	166	9.99e-34	60.24	21	167	20967522	20967028	-1
AT5G27910.1	NW_003302548.1	187	22951293	149	2.77e-32	62.42	17	165	14013871	14013434	-3
AT5G27910.1	NW_003302548.1	187	22951293	111	1.72e-05	50.45	1	110	4615656	4615973	3
AT5G27910.1	NW_003302553.1	187	24464547	111	2.00e-50	87.39	1	111	19314111	19313785	-1
AT5G27910.1	NW_003302553.1	187	24464547	24	0.034	66.67	135	158	19313708	19313637	-2
AT5G27910.1	NW_003302551.1	187	21221946	164	1.94e-35	61.59	21	169	13893591	13893103	-1
AT5G27910.1	NW_003302555.1	187	33132539	153	2.39e-34	63.40	20	160	31134306	31134755	3
AT5G27910.1	NW_003302555.1	187	33132539	149	3.37e-33	65.77	21	164	29761056	29761457	3
AT5G27910.1	NW_003302555.1	187	33132539	157	6.19e-33	60.51	21	160	3410114	3410572	2
AT5G27910.1	NW_003302549.1	187	24649197	56	1.73e-09	69.64	55	110	24360333	24360500	3
AT5G27910.1	NW_003302549.1	187	24649197	57	1.85e-09	73.68	54	110	24404749	24404919	1
AT5G27910.1	NW_003302549.1	187	24649197	59	0.002	59.32	54	112	24402691	24402515	-3
AT5G27910.1	NW_003302550.1	187	25113588	32	1.2	65.62	15	46	20875341	20875246	-1
AT5G63470.1	NW_003302548.1	250	22951293	206	8.29e-108	96.12	21	225	20967639	20967022	-1
AT5G63470.1	NW_003302548.1	250	22951293	141	4.65e-42	71.63	62	198	14017039	14016629	-3
AT5G63470.1	NW_003302548.1	250	22951293	144	8.98e-37	68.06	60	203	14028303	14027926	-1
AT5G63470.1	NW_003302548.1	250	22951293	165	1.32e-36	63.64	60	223	14038500	14038060	-1
AT5G63470.1	NW_003302548.1	250	22951293	155	9.53e-30	60.00	72	222	14013832	14013431	-3
AT5G63470.1	NW_003302548.1	250	22951293	79	6.50e-07	59.49	78	155	4615746	4615982	3
AT5G63470.1	NW_003302551.1	250	21221946	184	4.43e-103	95.65	41	224	13893648	13893106	-1
AT5G63470.1	NW_003302555.1	250	33132539	162	6.35e-59	73.46	60	220	31134309	31134773	3
AT5G63470.1	NW_003302555.1	250	33132539	128	2.99e-56	81.25	59	186	29761053	29761421	3
AT5G63470.1	NW_003302555.1	250	33132539	158	4.48e-56	75.95	60	214	3410114	3410581	2
AT5G63470.1	NW_003302553.1	250	24464547	98	1.60e-29	78.57	60	157	19314057	19313773	-1
AT5G63470.1	NW_003302553.1	250	24464547	46	0.53	56.52	82	127	4997835	4997948	3
AT5G63470.1	NW_003302549.1	250	24649197	69	1.71e-12	69.57	87	155	24360303	24360509	3
AT5G63470.1	NW_003302549.1	250	24649197	61	1.20e-09	70.49	95	155	24404746	24404928	1
AT5G63470.1	NW_003302549.1	250	24649197	58	5.93e-04	58.62	95	152	24402694	24402521	-3
AT5G63470.1	NW_003302550.1	250	25113588	27	1.9	74.07	82	108	2700858	2700778	-1
AT5G63470.2	NW_003302548.1	250	22951293	206	8.29e-108	96.12	21	225	20967639	20967022	-1
AT5G63470.2	NW_003302548.1	250	22951293	141	4.65e-42	71.63	62	198	14017039	14016629	-3
AT5G63470.2	NW_003302548.1	250	22951293	144	8.98e-37	68.06	60	203	14028303	14027926	-1
AT5G63470.2	NW_003302548.1	250	22951293	165	1.32e-36	63.64	60	223	14038500	14038060	-1
AT5G63470.2	NW_003302548.1	250	22951293	155	9.53e-30	60.00	72	222	14013832	14013431	-3
AT5G63470.2	NW_003302548.1	250	22951293	79	6.50e-07	59.49	78	155	4615746	4615982	3
AT5G63470.2	NW_003302551.1	250	21221946	184	4.43e-103	95.65	41	224	13893648	13893106	-1
AT5G63470.2	NW_003302555.1	250	33132539	162	6.35e-59	73.46	60	220	31134309	31134773	3
AT5G63470.2	NW_003302555.1	250	33132539	128	2.99e-56	81.25	59	186	29761053	29761421	3
AT5G63470.2	NW_003302555.1	250	33132539	158	4.48e-56	75.95	60	214	3410114	3410581	2
AT5G63470.2	NW_003302553.1	250	24464547	98	1.60e-29	78.57	60	157	19314057	19313773	-1
AT5G63470.2	NW_003302553.1	250	24464547	46	0.53	56.52	82	127	4997835	4997948	3
AT5G63470.2	NW_003302549.1	250	24649197	69	1.71e-12	69.57	87	155	24360303	24360509	3
AT5G63470.2	NW_003302549.1	250	24649197	61	1.20e-09	70.49	95	155	24404746	24404928	1
AT5G63470.2	NW_003302549.1	250	24649197	58	5.93e-04	58.62	95	152	24402694	24402521	-3
AT5G63470.2	NW_003302550.1	250	25113588	27	1.9	74.07	82	108	2700858	2700778	-1
AT5G50470.1	NW_003302548.1	212	22951293	199	3.20e-68	70.85	1	195	14014006	14013428	-3
AT5G50470.1	NW_003302548.1	212	22951293	139	2.22e-38	65.47	46	175	14017042	14016644	-3
AT5G50470.1	NW_003302548.1	212	22951293	154	9.06e-38	59.09	46	194	14038506	14038063	-1
AT5G50470.1	NW_003302548.1	212	22951293	156	4.95e-33	60.90	46	195	14028309	14027890	-1
AT5G50470.1	NW_003302548.1	212	22951293	169	3.65e-29	55.62	47	194	20967516	20967031	-1
AT5G50470.1	NW_003302548.1	212	22951293	54	3.90e-04	64.81	64	117	4615749	4615910	3
AT5G50470.1	NW_003302551.1	212	21221946	169	9.78e-31	56.80	48	194	13893591	13893112	-1
AT5G50470.1	NW_003302555.1	212	33132539	153	1.86e-27	60.13	48	192	29761056	29761457	3
AT5G50470.1	NW_003302555.1	212	33132539	159	1.22e-26	58.49	47	190	31134306	31134761	3
AT5G50470.1	NW_003302555.1	212	33132539	132	3.11e-26	63.64	48	174	3410114	3410479	2
AT5G50470.1	NW_003302555.1	212	33132539	39	3.7	53.85	64	102	30862471	30862355	-2
AT5G50470.1	NW_003302553.1	212	24464547	103	4.99e-25	67.96	46	148	19314063	19313773	-1
AT5G50470.1	NW_003302549.1	212	24649197	82	4.26e-09	52.44	72	153	24360303	24360530	3
AT5G50470.1	NW_003302549.1	212	24649197	74	1.60e-04	55.41	80	153	24404746	24404949	1
AT5G50470.1	NW_003302549.1	212	24649197	39	3.7	53.85	64	102	23258438	23258554	2
AT5G50470.1	NW_003302549.1	212	24649197	18	9.3	88.89	64	81	24360109	24360162	1
AT5G50470.1	NW_003302550.1	212	25113588	26	0.31	73.08	69	94	1907364	1907287	-1
